Title,Link
Download,https://www.bits-pilani.ac.in/wp-content/uploads/Institute-Fellowship-policy-for_PhD.pdf
Download,https://www.bits-pilani.ac.in/wp-content/uploads/DRC_Guidelines-2015-updated.pdf
Download,https://www.bits-pilani.ac.in/wp-content/uploads/Guidelines_for-PhD-Proposal.pdf
Download,https://www.bits-pilani.ac.in/wp-content/uploads/CheckList_PhD-Thesis-submission.pdf
Download,https://www.bits-pilani.ac.in/wp-content/uploads/Documents_required.pdf
Download,https://www.bits-pilani.ac.in/wp-content/uploads/Leave-policy-for-the-institute-supported-PhD-students.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-DRC-constitution-final.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Format_selection-of-DAC-member.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-change-of-Superviso-and-Co-Supervisor.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-submitting-the-course-work.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/PrePhD_CourseHandout_format.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/AGSRD_Pre-PhD-Grade-format-Updated.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/5_Format_for-application-to-DRC-for-Ph.D-Qualifying-Examination.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/6_Format_of-Evaluation-sheet-for-Ph.D-Qualifying-Examination.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/7_Format_for-forwarding-the-results-of-Ph.D-Qualifying-Examination.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/11_Summary_of-Research-Proposal.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/12_Research_Proposal.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Checklist_For-Proposal.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/8_Appendix_I-to-be-attached-with-research-Proposals.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/9_Format_for-evaluation-DAC-Members.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/10_Format_for-forwarding-the-research-proposals.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-Proposed-out-side-Co-Supervisor.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Certificate_from-DAC-PhD-proposal.pdf
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-PhD-Thesis-title-approval_Revised.doc
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/13_Format_for-evaluation-of_pre-submission-draft.pdf
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/FORMAT_FOR-FORWARDING-THESIS-SUBMISSION-RELATED-DOCUMENTS-TO-AGSRD.doc
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Thesis_Form-1.doc
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Thesis_form-2.doc
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/FORMAT_FOR-SUBMISSION-OF-DRC-APPROVED-LIST-OF-EXAMINERS.doc
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Format_for-Vital-Information-of-Examiners_Revised.doc
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Proforma_for-Thesis-Certificate-Page.doc
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/On_Proforma_for-Thesis-Title-page.pdf
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/SUPERVISOR_CONSENT_FORM.doc
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Certificate_from-DAC-PhD-final-thesis-sub-mod.pdf
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Pre-PhD-Grade_format.doc
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Post_PhD_grade.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Annual_progress-report_PhD_new.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/On_Submitting_Plan-of-Work-during-a-Semester.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/18_Format-for-recommending-extension-of-time-limit-for-submission-of-thesis.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/16_Format-for-forwarding-continuation-of-fee-waiver-and-or-Institute-fellowship.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/17_Format-for-recommending-continuation-of-fee-waiver-and-or-Institute-Fellowship.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Fellowship_Advance-Form.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Travel-Grant-for-Registered-Ph.d-Student.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Application-Form-Institute-Travel-Grant.pdf
[Download DOC],https://www.bits-pilani.ac.in/wp-content/uploads/Institute-Travel-Grant-Application-Form-1.docx
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/BITS-Pilani-International-Travel-Award_Guidelines-1.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Application-Form_International-Travel-Award.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Requisition-for-TA.DA-forms.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/Institute_Contigency-Form.pdf
[Download PDF],https://www.bits-pilani.ac.in/wp-content/uploads/CONTINGENCY_self-project.pdf
